,issn,abstract,LastName,FirstName,year
0,0036-8075,"How to obtain the Brain of the Cat, (Wilder).-Correction: Page 158, second column, line 7, ""grains,"" should be ""grams;"" page 159, near middle of 2nd column, ""successily,"" should be ""successively;"" page 161, the number of Flower's paper is 3.",Wilder,B G,1881
1,0036-8075,"Mr. Dopp desires to make the following correction in his paper in the last issue: ""In my article on page 200 of ""Science"", the expression and should have been and being the velocity of light.",Dopp,W H,1881
2,0036-8075,"Reviewing the floral relations of North and South America as illustrated in the foregoing instances, we may say that the phenomena of distribution agree fairly with the record of physical conditions which have succeeded each other and those which still exist, and upon which we might almost a priori have predicted an analogous set of distribution phenomena. In this relationship we may distinguish three categories of distribution: (1) Those due to the conditions of human civilization, commerce, etc. This has resulted in placing the same species in similar regions of both continents, as, for example, Fagonia cretica in Lower California and Chile; Munroa squarrosa, western plains of North America, plains of Argentine and high plateaus of Chile and Bolivia; Frankenia grandiflora, Southern California and Arizona, coast lands of Chile; Oxytheca dendroidea, Lastarricea chilensis, and Chorizanthe comrnmissuralis, all in Southern California and Western Chile. (2) Those due to the operation of natural causes acting unde present conditions of climate, geology, etc. Under this head may be cited such species as sida leprosa, hastata, anomala, Cienfugosia sulphurea, Spergulariaplattensis and, in general, elements of Gulf zone distribution; also certain elements which still find a pathway along the continental axis, including some alpine and mountain xerophilous genera. (3) The third category of distribution would include those phenomena due to geological and climatic changes acting through long periods. Under this head are included the elements of greatest significance in the relationsip of the North and South America floras. The endemic boreal flora of the Andes, the equally endemic boreal flora of the Mexican Cordilleras, and genera with sharply distinct species or sub-genera in the arid extra-tropical regions of both continents, which may be called remnant elements.",Bray,W L,1900
3,0036-8075,"1. The basic principle in Mendel's discoveries is that of the purity of t. he germcells; in accordance with this a cross-bred animal or plant produces germ-cells bearing only one of each pair of characters in which its parents differ. From it follows the occurrence in the second and later hybrid generations of a definite number of forms in definite numerical proportions. 2. Mendel's principle of dominance is realized in the heredity of a considerable number of characters among both animals and plants. In accordance with this principle, hybrid offspring have visibly the character of only one parent or the other, though they transmit those of both parents. 3. In other cases the hybrid has a distinctive character of its own. This may approximate more or less closely the character of one parent or the other, or it may be entirely different from both. Frequently the distinctive hybrid character resembles a lost ancestral character. In some cases of this sort, as in coat-color of mammals, the hybrid character probably results from a recomibination of the characters seen in one or both parents, with certain Other characters latent (that is, recessive) in one parent or the other. 4. There have been observed the following exceptions to the principle of dominance, or to the principle of purity of the germ-cells, or to both: (a) Mosaic inheritance, in which a pair of characters ordinarily related as dominant and recessive occur in a balanced relationship, side by side in the hybrid individual and frequently in its germ-cells also. This balanced condition, once obtained, is usually stable under close breeding, but is readily disturbed by cross-breeding, giving place then to the normal dominance. (b) Stable (self-perpetuating) hybrid forms result from certain crosses. These constitute an exception to both the law of dominance and to that of purity of the germ-cells. For the hybrid is like neither parent, but the characters of both parents exist in a stable union in the mature germcells produced by the hybrid. (c) Coupling, i. e., complete correlation may exist between two or more characters, so that they form a compound unit not separable in heredity, at least in certain crosses. (d) Disintegration of characters apparently simple may take place in consequence of cross-breeding. (e) Departures from the expected ratios of dominants to recessives may be explained in some cases as due to inferior vigor, and so greater mortality, on the part of dominants or recessives respectively. (f) Cases of apparent reversal of dominance may arise from 'false hybridization' (induced lparthenogenesis). Possibly in other cases the determination of dominance rests with circumstances as yet unknown. 5. Mendel's principles strengthen the view that species arise by discontinuous variation. They explain why new types are especially variable, how one variation causes others, and why certain variations are so persistent in their Occurrence.",Castle,W E,1903
4,0036-8075,"The following facts are those which are put forth through paleontological observation, for verification by others: 1. That many origins of new characters are through some internal action in heredity. 2. That many important adaptive characters arise determinately, definitely, but by extremely slow stages. 3. That degrees of similarity in such origins correspond with degrees of kinship. 4. That degrees of kinship also affect to a certain extent, but not absolutely the time of appearance, or the time of the origin, or the rate of evolution. 5. That such origins find expression not sponta. neously, or irrespective of conditions, or from purely internal mechanical causes, but through some entirely unknown and at present inconceivable relation to ontogeny (habit and use), to environment (external conditions), and to selection. 6. That if such origins do spring from internal hereditary principles, as they appear to do in many eases, slow origins (mutations of de Vries) may be simply due to the same law operating with a different velocity.",Osborn,H F,1907
5,0022-1007,"1. In tuberculosis meningitis there is a tuberculosis endarteritis characterized by the formation of intimal tubercles and a diffuse subendothelial, intimal proliferation due to implantation of tubercle bacili from the blood. From the endarteritis the infiltration may spread into the muscular coat and the adventitia, and the whole wall may undergo caseous and hyaline degeneration. 2. Tuberculous proliferation in the adventitia may invade the media and the intima, and the whole wall of the arterial segment may undergo degeneration. 3. The veins are constantly the seat of more or less extensive infiltration, which always results from adjacent extravascular or arterial foci. 4. The epithelioid cells of the subendothelial, tuberculous intimal See PDF for Structure proliferation are most likely derived from the subendothelial layer of connective tissue and not from the endothelial lining.",Hektoen,L,1896
6,0022-1007,"Toxin of sufficient strength to kill a 400-gramme guinea-pig in three days and a half in a dose of 0.cubic centimetre developed in suitable bouillon, contained in ordinary Erlenmeyer flasks, within a period of twenty-four hours. In such boullon the toxin reached its greatest strength in from four to seven days (0.005 cubic centimetre killing a 500-gramme guinea-pig in three days). This period of time covered that of the greatest growth of the bacilli, as shown both by the appearance of the culture and by the number of colonies developing an agar plates. The bodies of the diphtheria bacili did not at any time contain toxin in cosiderable amounts. The type of growth of the bacili and the rapidity and extent of the production of toxin depended more on the reaction of the bouillon than upon any other single factor. The best results were obtained in bouillon which, after being neutralized to litmus, had about seven cubic centimetres of normal soda solution added to each litre. An excessive amount of either acid or alkali prevented the development of toxin. Strong toxin was produced in bouillon containing peptone ranging from one to ten per cent. The strength of toxin averaged greater in the two and four-per-cent peptone solutions than in the one-percent. When the stage of acid reaction was brief and the degree of acidity probably slight, strong toxin developed while the culture bouillon was still acid; but when the stage of acid reaction was prolonged, little if any toxin was produced until just before the fluid became alkaline. Glucose is deleterious to the growth of the diphtheria bacillus and to the production of toxin when it is present in sufficient amounts to cause by its disintegration too great a degree of acidity in the fluid culture. When the acid resulting from decomposition of glucose is neutralized by the addition of alkali the diphtheria bacilus again grows abundantly. Glucose is not present, at least as a rule, in sufficient amounts in the meat as obtained from the New York butchers to prevent the rapid production of strong toxin if the bouillon is made sufficiently alkaline. In our experiments, when other conditions were similar, the strength of the toxin was in proportion to the virulence and vigour of growth of the bacillus employed.",Park,W H,1896
7,0022-1007,"Toxin of sufficient strength to kill a 400-gramme guinea-pig in three days and a half in a dose of 0.cubic centimetre developed in suitable bouillon, contained in ordinary Erlenmeyer flasks, within a period of twenty-four hours. In such boullon the toxin reached its greatest strength in from four to seven days (0.005 cubic centimetre killing a 500-gramme guinea-pig in three days). This period of time covered that of the greatest growth of the bacilli, as shown both by the appearance of the culture and by the number of colonies developing an agar plates. The bodies of the diphtheria bacili did not at any time contain toxin in cosiderable amounts. The type of growth of the bacili and the rapidity and extent of the production of toxin depended more on the reaction of the bouillon than upon any other single factor. The best results were obtained in bouillon which, after being neutralized to litmus, had about seven cubic centimetres of normal soda solution added to each litre. An excessive amount of either acid or alkali prevented the development of toxin. Strong toxin was produced in bouillon containing peptone ranging from one to ten per cent. The strength of toxin averaged greater in the two and four-per-cent peptone solutions than in the one-percent. When the stage of acid reaction was brief and the degree of acidity probably slight, strong toxin developed while the culture bouillon was still acid; but when the stage of acid reaction was prolonged, little if any toxin was produced until just before the fluid became alkaline. Glucose is deleterious to the growth of the diphtheria bacillus and to the production of toxin when it is present in sufficient amounts to cause by its disintegration too great a degree of acidity in the fluid culture. When the acid resulting from decomposition of glucose is neutralized by the addition of alkali the diphtheria bacilus again grows abundantly. Glucose is not present, at least as a rule, in sufficient amounts in the meat as obtained from the New York butchers to prevent the rapid production of strong toxin if the bouillon is made sufficiently alkaline. In our experiments, when other conditions were similar, the strength of the toxin was in proportion to the virulence and vigour of growth of the bacillus employed.",Williams,A W,1896
8,0022-1007,"The most important of this investigation has been the completion of various improvements in the construction and use of the plethysmograph, by means of which numerous errors attending the use of the instrument have been eliminated. The results of the work show that all olfactory sensations, so far as they produce any effect through the vasomotor system, tend to diminish the volume of the arm, and therefore presumably cause a congestion of the brain. Whenever the stimulation occassions an increase in the volume of the arm, as sometimes happens, it seems to be due to acceleration of the heart rate, which, of course, tends also to increase the supply of blood to the brain. The of odours varies in extent with different individuals, and with the same individual at different times. It was most marked in subjects sensitive to odours. Irritant vapours, such as formic acid, have a marked effect in the same direction-that is, they cause a strong diminution in the volume of the arm. The experiments give no support to the view that pleasant sensations are accompanied by a diminution of the See PDF for Structure blood supply to the brain and unpleasant sensations by the reverse efeect. In all my experiments mental work caused a marked and prolonged diminution in the volume of the arm. This vasomotor effect was sometimes preceded by a transitory increase in the volume of the arm caused by acceleration of heart rate.",Shields,T E,1896
9,0022-1007,"The pigmentary granules of the negro's skin and hair can be freed in several ways from the cells in which they are lodged and collected in any desired amount. As thus obtained, these granules are found to be insoluble in dilute alkalies, dilute hydrochloric acid (hot or cold), alcohol, or other organic solvents when applied in the order named. If, after they have been subjected to the action of dilute hydrochloric acid, they are again treated with dilute alkalies, they are found to give up their pigment, and, on the continued application of heat, the granules dissolve entirely in the alkaline solution, leaving only an insignificant residue. The pigmentary granules are composed of a colourless ground substance or substratum, a pigment, and much inorganic matter. Their inorganic constituents, as thus far determined, are calcium, magnesium, iron, and silicic, phosphoric, and sulphuric acids; and these constituents possibly play an important part in the deposition and fixation of the colouring matter in the granules. The pigment isolated from the granules, and sufficiently freed from adherent inorganic matter, contains only the merest trace of iron-so little, in fact, that we must think of it when entirely pure as free of iron. Heating the isolated pigment with barium hydrate at a temperature of 260 degrees C. entirely frees it from the closely adherent ground substance, and it is then found that the vapours of pyrrol are no longer emitted when it is subjected to dry distillation, and the odour of burnt feathers is no longer discerned, although nitrogen is still present. We can not conclude as the result of our work that the pigment is a derivative of haemoglobin; it seems to us more probable that it is ultimately derived from the proteids of the parenchymatous juices. The total quantity of soluble pigment in the skin of a negro of average size is found to weigh about 1 gramme; the weight of the pigmentary granules is about 3.3 grammes, if we are right in our assumption that they contain sixty-five per cent of water and five per cent of mineral constituents in their natural state in the epidermis. The pigments of the epidermis and hair of the negro are very likely identical. In the present state of our knowledge we can only say that it seems highly probable that the pigment of the negro's hair is not different from the dark pigment found in the hair of the white races, and we may infer that the pigment of the black skin differs only in amount and not in kind from that deposited in the skin of the white man.",Abel,J J,1896
